time,pv,cv,sp,kp
851799,50.05,0.0,50.0,150.0
852322,49.94,9.31,50.0,150.0
852845,49.86,20.25,50.0,150.0
853368,49.75,38.22,50.0,150.0
853891,49.6,59.32,50.0,150.0
854414,49.5,74.94,50.0,150.0
854937,49.41,88.22,50.0,150.0
855460,49.3,100.0,50.0,150.0
855982,49.26,100.0,50.0,150.0
856505,49.18,100.0,50.0,150.0
857028,49.2,100.0,50.0,150.0
857551,49.38,93.69,50.0,150.0
858074,49.63,55.41,50.0,150.0
858599,49.86,20.25,50.0,150.0
859122,49.97,4.63,50.0,150.0
859645,50.14,0.0,50.0,150.0
860168,50.23,0.0,50.0,150.0
860691,50.22,0.0,50.0,150.0
861214,50.1,0.0,50.0,150.0
861737,50.01,0.0,50.0,150.0
862260,49.91,14.0,50.0,150.0
862783,49.78,32.75,50.0,150.0
863306,49.67,49.16,50.0,150.0
863829,49.54,69.47,50.0,150.0
864352,49.43,85.1,50.0,150.0
864875,49.33,99.94,50.0,150.0
865398,49.25,100.0,50.0,150.0
865921,49.23,100.0,50.0,150.0
866446,49.14,100.0,50.0,150.0
866969,49.29,100.0,50.0,150.0
867492,49.51,73.38,50.0,150.0
868015,49.79,31.19,50.0,150.0
868538,50.02,0.0,50.0,150.0
869060,50.08,0.0,50.0,150.0
869583,50.16,0.0,50.0,150.0
870106,50.16,0.0,50.0,150.0
870629,50.09,0.0,50.0,150.0
871152,49.96,6.19,50.0,150.0
871675,49.85,21.81,50.0,150.0
872198,49.8,29.63,50.0,150.0
872721,49.66,50.72,50.0,150.0
873243,49.57,64.78,50.0,150.0
873767,49.43,85.1,50.0,150.0
874289,49.38,93.69,50.0,150.0
874815,49.26,100.0,50.0,150.0
875338,49.22,100.0,50.0,150.0
875861,49.17,100.0,50.0,150.0
876384,49.25,100.0,50.0,150.0
876906,49.43,85.1,50.0,150.0
877429,49.73,39.78,50.0,150.0
877952,49.97,3.85,50.0,150.0
878475,50.07,0.0,50.0,150.0
878998,50.15,0.0,50.0,150.0
879521,50.15,0.0,50.0,150.0
880044,50.13,0.0,50.0,150.0
880566,50.04,0.0,50.0,150.0
881089,49.9,15.56,50.0,150.0
881613,49.8,29.63,50.0,150.0
882136,49.69,46.03,50.0,150.0
882659,49.6,59.32,50.0,150.0
883185,49.46,81.19,50.0,150.0
883708,49.39,92.13,50.0,150.0
884231,49.3,100.0,50.0,150.0
884754,49.19,100.0,50.0,150.0
885277,49.16,100.0,50.0,150.0
885800,49.17,100.0,50.0,150.0
886322,49.4,89.78,50.0,150.0
886845,49.61,58.53,50.0,150.0
887369,49.84,23.38,50.0,150.0
887892,50.02,0.0,50.0,150.0
888415,50.11,0.0,50.0,150.0
888938,50.14,0.0,50.0,150.0
889461,50.11,0.0,50.0,150.0
889984,50.02,0.0,50.0,150.0
890507,49.94,9.31,50.0,150.0
891032,49.81,28.85,50.0,150.0
891555,49.72,42.13,50.0,150.0
892078,49.64,53.85,50.0,150.0
892600,49.54,68.69,50.0,150.0
893123,49.44,84.32,50.0,150.0
893646,49.34,98.38,50.0,150.0
894169,49.22,100.0,50.0,150.0
894691,49.12,100.0,50.0,150.0
895214,49.16,100.0,50.0,150.0
895737,49.41,88.22,50.0,150.0
896260,49.56,66.35,50.0,150.0
896782,49.75,38.22,50.0,150.0
897305,49.95,7.75,50.0,150.0
897828,50.02,0.0,50.0,150.0
898351,50.06,0.0,50.0,150.0
898874,50.03,0.0,50.0,150.0
899403,49.96,5.41,50.0,150.0
899926,49.83,24.94,50.0,150.0
900449,49.69,46.03,50.0,150.0
900972,49.58,62.44,50.0,150.0
901496,49.49,76.5,50.0,150.0
902019,49.43,85.1,50.0,150.0
902541,49.32,100.0,50.0,150.0
903064,49.28,100.0,50.0,150.0
903587,49.19,100.0,50.0,150.0
904110,49.34,99.16,50.0,150.0
904632,49.44,84.32,50.0,150.0
905155,49.6,59.32,50.0,150.0
905678,49.84,24.16,50.0,150.0
906201,50.05,0.0,50.0,150.0
906723,50.14,0.0,50.0,150.0
907248,50.16,0.0,50.0,150.0
907771,50.09,0.0,50.0,150.0
908295,50.01,0.0,50.0,150.0
908818,49.91,14.0,50.0,150.0
909341,49.78,32.75,50.0,150.0
909864,49.63,55.41,50.0,150.0
910387,49.51,73.38,50.0,150.0
910910,49.42,87.44,50.0,150.0
911433,49.36,95.25,50.0,150.0
911956,49.28,100.0,50.0,150.0
912479,49.21,100.0,50.0,150.0
913001,49.19,100.0,50.0,150.0
